Esperanto,English
mortis,died
ĉesu,stop
frato,brother
restu,stay
ekzistas,there is
tiujn,those
vivon,life
hej,hey
tra,through
reĝo,king
sub,below
atentu,Be careful
tutan,whole
iun,someone
aŭdis,heard
haltu,stop
milito,war
knabo,boy
vera,true
domo,house
helpi,to help
loko,place
aŭdas,hear
vivas,live
povis,could
kvazaŭ,as if
nian,our
bedaŭras,sorry
deziras,wish
antaŭe,before
viro,man
aspektas,looks like
l,l
revenos,will come back
fratino,sister
morto,death
unue,First
bonvole,please
ordo,order
sufiĉas,is enough
tempon,time
sciis,knew
memoras,remember
miajn,my
amo,love
gvidanto,leader
hejmen,home
nova,new
sufiĉe,enough
moŝto,Majesty
laboro,work
ŝia,her
certas,are sure
kiujn,which
komprenis,understood
iomete,slightly
devus,should
zorgu,Take care
amikoj,friends
akvo,water
fino,end
signifas,means
malfermu,open
iris,went
sankta,holy
ĵus,recently
devos,will have to
kvin,five
virino,woman
verŝajne,probably
æu,Is it right
lando,country
atendas,are waiting for
kapablas,are capable of
koro,heart
barono,baron
scii,to know
manĝi,to eat
damne,damn
restos,will remain
lian,his
horo,hour
monon,money
finfine,at last
tial,hence
almenaŭ,at least
multaj,many
nokton,night
dek,ten
mortos,will die
mono,money
malbone,badly
pretas,ready
ilia,their
forgesis,forgot
restas,remains left
vojo,way
malpli,less
donis,gave
okazos,will happen
lasta,last
ku,ku
restis,left
decidis,decided
malbona,bad
ege,extremely
eniru,get in
foriri,to leave
tagoj,days
apud,next to
urbo,city
iŝan,ian
perdis,lost
knabino,girl
grava,important
bonas,is good
havi,to have
kapo,head
mankas,missing
niajn,our
parolu,Talk
ĉielo,heaven
okuloj,eyes
momenton,a moment
vidos,will see
lernejo,school
temas,It's about
petis,asked for
sidiĝu,Sit down
fakte,In fact
devis,had to
alvenis,arrived
morti,to die
nepre,be sure to
siajn,his
trovi,to find
jaro,year
pravas,is right
diros,will say
mortigi,to kill
tiaj,such
ŝipo,ship
resti,to stay
grandan,big
kapitano,captain
havos,will have
pablo,Pablo
homojn,people
hejme,at home
traduko,translation
chico,chico
manĝu,eat
nomiĝas,is called
sukcesis,succeeded
arbaro,forest
avinjo,grandmother
edzo,husband
pordon,a door
jarojn,years
haŭl,haul
dua,second
same,Same
kompreni,to understand
krom,In addition to
infano,child
nederlanda,Dutch
rigardas,looks at
kelkaj,Some
liaj,his his
permesu,Allow
æi,this
familio,family
mak,mak
planedo,planet
laboron,work
vivi,to live
kvar,four
revenis,came back
problemo,Problem
daŭre,still
novan,a new
trovos,will find
laboras,work
prenis,took
aferoj,things
silentu,keep quiet
veni,to come
serĉas,looking for
loĝas,resides
facile,easily
rigardi,to look at
esperas,hope
tenu,Hold
preni,to take
vivu,live
minutoj,minutes
knaboj,boys
provu,try
donos,will give
eta,tiny
filino,daughter
kamarado,Comrade
revenu,come back
sukcesos,will succeed
donas,gives
nokto,night
billy,Billy
ambaŭ,both of them
neniun,none
juna,young
volus,would
ĉiun,each
parolis,spoke
manĝas,eats
gepatroj,parents
ŝatus,would like to
funkcias,works
trankviliĝu,calm down
momento,moment
belega,gorgeous
manojn,hands
pordo,door
multajn,many
fine,finally
pardonon,Sorry
foriris,left
sama,same
iliaj,their
muziko,music
sofi,sofi
nomon,name
stulta,stupid
malfrue,late
mej,Mej
ĉirkaŭ,around
prefere,preferably
ekstere,outside
ricevis,received
diable,Devil
vesperon,evening
prenos,will take
ideo,an idea
eniri,to get in
celas,is aiming for
lokon,a place
hieraŭ,yesterday
ludi,to play
matenon,morning
